UITVOERDER;TITEL;;;;;;;;;;;;Uitvoerder;Titel
Berlin;Take my breath away;;;;;;;;;;;;Berlin;*Take my breath away
Bernd Cluver;Der Junge Mit Der Mundharmonika;;;;;;;;;;;;Bernd Cluver;*Der Junge Mit Der Mundharmonika
Bette Midler;The Rose;;;;;;;;;;;;Bette Midler;*The Rose
Beverley Craven;Promise Me;;;;;;;;;;;;Beverley Craven;*Promise Me
Beyonce;Crazy In Love;;;;;;;;;;;;Beyonce;*Crazy In Love
Beyoncé;Halo;;;;;;;;;;;;Beyoncé;*Halo
Beyoncé;If I were a boy;;;;;;;;;;;;Beyoncé;*If I were a boy
Beyoncé;Single ladies (Put a ring on it);;;;;;;;;;;;Beyoncé;*Single ladies (Put a ring on it)
Beyoncé ft. Jay-Z;Drunk in love (+ duet);;;;;;;;;;;;Beyoncé ft. Jay-Z;*Drunk in love (+ duet)
Beyonce ft. Lady Gaga;Video Phone;;;;;;;;;;;;Beyonce ft. Lady Gaga;*Video Phone
Bill Haley & The Comets;See You Later Alligator;;;;;;;;;;;;Bill Haley & The Comets;*See You Later Alligator
Bill Medley & Jennifer Warnes;The Time Of My Life (+ duet);;;;;;;;;;;;Bill Medley & Jennifer Warnes;*The Time Of My Life (+ duet)
Bill Withers;Ain't No Sunshine;;;;;;;;;;;;Bill Withers;*Ain't No Sunshine
Bill Withers;Lovely Day;;;;;;;;;;;;Bill Withers;*Lovely Day
Billie Eilish;All the good girls go to Hell;;;;;;;;;;;;Billie Eilish;*All the good girls go to Hell
Billie Eilish;Bad Guy;;;;;;;;;;;;Billie Eilish;*Bad Guy
Billie Eilish;Bury a friend;;;;;;;;;;;;Billie Eilish;*Bury a friend
Billie Eilish;COPYCAT;;;;;;;;;;;;Billie Eilish;*COPYCAT
Billie Eilish;everything i wanted;;;;;;;;;;;;Billie Eilish;*everything i wanted
Billie Eilish;No Time To Die;;;;;;;;;;;;Billie Eilish;*No Time To Die
Billie Eilish;when the party's over;;;;;;;;;;;;Billie Eilish;*when the party's over
Billy Idol;Dancing with myself;;;;;;;;;;;;Billy Idol;*Dancing with myself
Billy Idol;Eyes without a face;;;;;;;;;;;;Billy Idol;*Eyes without a face
Billy Idol;Rebel Yell;;;;;;;;;;;;Billy Idol;*Rebel Yell
Billy Idol;White Wedding;;;;;;;;;;;;Billy Idol;*White Wedding
Billy Joel;Honesty;;;;;;;;;;;;Billy Joel;*Honesty
Billy Joel;Just the way you are;;;;;;;;;;;;Billy Joel;*Just the way you are
Billy Joel;Piano Man;;;;;;;;;;;;Billy Joel;*Piano Man
Billy Joel;She's always a woman;;;;;;;;;;;;Billy Joel;*She's always a woman
Billy Joel;Tell her about it;;;;;;;;;;;;Billy Joel;*Tell her about it
Billy Joel;The Longest Time;;;;;;;;;;;;Billy Joel;*The Longest Time
Billy Joel;Uptown Girl;;;;;;;;;;;;Billy Joel;*Uptown Girl
Billy Joel;We didn't start the fire;;;;;;;;;;;;Billy Joel;*We didn't start the fire
Billy Ocean;Caribbean Queen;;;;;;;;;;;;Billy Ocean;*Caribbean Queen
Billy Ocean;Get outta my dreams;;;;;;;;;;;;Billy Ocean;*Get outta my dreams
Billy Ocean;Loverboy;;;;;;;;;;;;Billy Ocean;*Loverboy
Billy Ocean;When the going gets tough;;;;;;;;;;;;Billy Ocean;*When the going gets tough
Billy Ray Cyrus;Achy Breaky Heart;;;;;;;;;;;;Billy Ray Cyrus;*Achy Breaky Heart
Bing Crosby;White Christmas;;;;;;;;;;;;Bing Crosby;*White Christmas
Bino;Mama Leone;;;;;;;;;;;;Bino;*Mama Leone
Birdy;People Help The People;;;;;;;;;;;;Birdy;*People Help The People
Birdy;Skinny Love;;;;;;;;;;;;Birdy;*Skinny Love
Birdy;Wings;;;;;;;;;;;;Birdy;*Wings
Bjork;Army of me;;;;;;;;;;;;Bjork;*Army of me
Bjork;Big Time Sensuality;;;;;;;;;;;;Bjork;*Big Time Sensuality
Bjork;Human Behaviour;;;;;;;;;;;;Bjork;*Human Behaviour
Bjork;Hyperballad;;;;;;;;;;;;Bjork;*Hyperballad
Björk;It's Oh So Quiet;;;;;;;;;;;;Björk;*It's Oh So Quiet
Björk;Venus As A Boy;;;;;;;;;;;;Björk;*Venus As A Boy
Black;Wonderful Life;;;;;;;;;;;;Black;*Wonderful Life
Black Box;Everybody Everybody;;;;;;;;;;;;Black Box;*Everybody Everybody
Black Box;Ride on time;;;;;;;;;;;;Black Box;*Ride on time
Black Crowes;Remedy;;;;;;;;;;;;Black Crowes;*Remedy
Black Eyed Peas;Boom Boom Pow;;;;;;;;;;;;Black Eyed Peas;*Boom Boom Pow
Black Eyed Peas;Don't you worry (duet);;;;;;;;;;;;Black Eyed Peas;*Don't you worry (duet)
Black Eyed Peas;GIRL LIKE ME;;;;;;;;;;;;Black Eyed Peas;*GIRL LIKE ME
Black Eyed Peas;Hey Mama;;;;;;;;;;;;Black Eyed Peas;*Hey Mama
Black Eyed Peas;I Gotta Feeling (+ duet);;;;;;;;;;;;Black Eyed Peas;*I Gotta Feeling (+ duet)
Black Eyed Peas;Meet Me Halfway (duet);;;;;;;;;;;;Black Eyed Peas;*Meet Me Halfway (duet)
Black Eyed Peas;My humps;;;;;;;;;;;;Black Eyed Peas;*My humps
Black Eyed Peas;Pump It;;;;;;;;;;;;Black Eyed Peas;*Pump It
Black Eyed Peas;Shut Up;;;;;;;;;;;;Black Eyed Peas;*Shut Up
Black Eyed Peas;The Time;;;;;;;;;;;;Black Eyed Peas;*The Time
Black Eyed Peas;Where Is The Love;;;;;;;;;;;;Black Eyed Peas;*Where Is The Love
Black Sabbath;Paranoid;;;;;;;;;;;;Black Sabbath;*Paranoid
Blind Guardian;Time What Is Time;;;;;;;;;;;;Blind Guardian;*Time What Is Time
Blink 182;Adam's Song;;;;;;;;;;;;Blink 182;*Adam's Song
Blink 182;All the small things;;;;;;;;;;;;Blink 182;*All the small things
Blink 182;First Date;;;;;;;;;;;;Blink 182;*First Date
Blink 182;I Miss You;;;;;;;;;;;;Blink 182;*I Miss You
Blink 182;Stay Together For The Kids;;;;;;;;;;;;Blink 182;*Stay Together For The Kids
Blink 182;The Rock Show;;;;;;;;;;;;Blink 182;*The Rock Show
Blink 182;What's My Age Again;;;;;;;;;;;;Blink 182;*What's My Age Again
Bloc Party;Banquet;;;;;;;;;;;;Bloc Party;*Banquet
Bloc Party;Hunting For Witches;;;;;;;;;;;;Bloc Party;*Hunting For Witches
Bloc Party;I still remember;;;;;;;;;;;;Bloc Party;*I still remember
Bloc Party;So Here We Are;;;;;;;;;;;;Bloc Party;*So Here We Are
Bloc Party;The Prayer;;;;;;;;;;;;Bloc Party;*The Prayer
Blof;Harder dan ik hebben kan;;;;;;;;;;;;Blof;*Harder dan ik hebben kan
Blof;Zoutelande;;;;;;;;;;;;Blof;*Zoutelande
Blondie;Atomic;;;;;;;;;;;;Blondie;*Atomic
Blondie;Call me;;;;;;;;;;;;Blondie;*Call me
Blondie;Heart Of Glass;;;;;;;;;;;;Blondie;*Heart Of Glass
Blondie;Maria;;;;;;;;;;;;Blondie;*Maria
Blondie;One way or another;;;;;;;;;;;;Blondie;*One way or another
Blondie;The Tide Is High;;;;;;;;;;;;Blondie;*The Tide Is High
Bloodhound Gang;Fire Water Burn;;;;;;;;;;;;Bloodhound Gang;*Fire Water Burn
Bloodhound Gang;Foxtrott Uniform Charlie Kilo;;;;;;;;;;;;Bloodhound Gang;*Foxtrott Uniform Charlie Kilo
Bloodhound Gang;Uhn tiss uhn tiss uhn tiss;;;;;;;;;;;;Bloodhound Gang;*Uhn tiss uhn tiss uhn tiss
Blu Cantrell;Hit 'Em Up Style;;;;;;;;;;;;Blu Cantrell;*Hit 'Em Up Style
Blue;Guilty;;;;;;;;;;;;Blue;*Guilty
Blue;One Love;;;;;;;;;;;;Blue;*One Love
Blue Oyster Cult;(Don't Fear) The Reaper;;;;;;;;;;;;Blue Oyster Cult;*(Don't Fear) The Reaper
Blues Brothers;Everybody needs somebody to love;;;;;;;;;;;;Blues Brothers;*Everybody needs somebody to love
Blur;Girls & Boys;;;;;;;;;;;;Blur;*Girls & Boys
Blur;Parklife;;;;;;;;;;;;Blur;*Parklife
Blur;Song 2;;;;;;;;;;;;Blur;*Song 2
Bob Dylan;All along the watchtower;;;;;;;;;;;;Bob Dylan;*All along the watchtower
Bob Dylan;Knockin' On Heaven's Door;;;;;;;;;;;;Bob Dylan;*Knockin' On Heaven's Door
Bob Marley;Buffalo Soldier;;;;;;;;;;;;Bob Marley;*Buffalo Soldier
Bob Marley;Could you be loved;;;;;;;;;;;;Bob Marley;*Could you be loved
Bob Marley;Get Up, Stand Up;;;;;;;;;;;;Bob Marley;*Get Up, Stand Up
Bob Marley;Is this love;;;;;;;;;;;;Bob Marley;*Is this love
Bob Marley;Jamming;;;;;;;;;;;;Bob Marley;*Jamming
Bob Marley;No Woman No Cry;;;;;;;;;;;;Bob Marley;*No Woman No Cry
Bob Marley;Redemption Song;;;;;;;;;;;;Bob Marley;*Redemption Song
Bob Marley;Stir It Up;;;;;;;;;;;;Bob Marley;*Stir It Up
Bob Marley;Three Little Birds;;;;;;;;;;;;Bob Marley;*Three Little Birds
Bob Sinclar;Love Generation;;;;;;;;;;;;Bob Sinclar;*Love Generation
Bob Sinclar;World, hold on;;;;;;;;;;;;Bob Sinclar;*World, hold on
Bobby McFerrin;Don't Worry Be Happy;;;;;;;;;;;;Bobby McFerrin;*Don't Worry Be Happy
Bobby Vinton;Sealed With A Kiss;;;;;;;;;;;;Bobby Vinton;*Sealed With A Kiss
Bobby Vinton;Take A Good Care Of My Baby;;;;;;;;;;;;Bobby Vinton;*Take A Good Care Of My Baby
Bon Jovi;Always;;;;;;;;;;;;Bon Jovi;*Always
Bon Jovi;Bad medicine;;;;;;;;;;;;Bon Jovi;*Bad medicine
Bon Jovi;Bed of Roses;;;;;;;;;;;;Bon Jovi;*Bed of Roses
Bon Jovi;Blaze of glory;;;;;;;;;;;;Bon Jovi;*Blaze of glory
Bon Jovi;Everyday;;;;;;;;;;;;Bon Jovi;*Everyday
Bon Jovi;Have a nice day;;;;;;;;;;;;Bon Jovi;*Have a nice day
Bon Jovi;I'd die for you;;;;;;;;;;;;Bon Jovi;*I'd die for you
Bon Jovi;Its My Life;;;;;;;;;;;;Bon Jovi;*Its My Life
Bon Jovi;Keep the faith;;;;;;;;;;;;Bon Jovi;*Keep the faith
Bon Jovi;Lay your hands on me;;;;;;;;;;;;Bon Jovi;*Lay your hands on me
Bon Jovi;Livin On A Prayer;;;;;;;;;;;;Bon Jovi;*Livin On A Prayer
Bon Jovi;Runaway;;;;;;;;;;;;Bon Jovi;*Runaway
Bon Jovi;Someday I'll Be Saturday Night;;;;;;;;;;;;Bon Jovi;*Someday I'll Be Saturday Night
Bon Jovi;Thank you for loving me;;;;;;;;;;;;Bon Jovi;*Thank you for loving me
Bon Jovi;Wanted dead or alive;;;;;;;;;;;;Bon Jovi;*Wanted dead or alive
Bon Jovi;We weren't born to follow;;;;;;;;;;;;Bon Jovi;*We weren't born to follow
Bon Jovi;You Give Love A Bad Name;;;;;;;;;;;;Bon Jovi;*You Give Love A Bad Name
Boney M;Brown girl in the ring;;;;;;;;;;;;Boney M;*Brown girl in the ring
Boney M;By the  Rivers of Babylon;;;;;;;;;;;;Boney M;*By the  Rivers of Babylon
Boney M;Daddy Cool;;;;;;;;;;;;Boney M;*Daddy Cool
Boney M;Ma Baker;;;;;;;;;;;;Boney M;*Ma Baker
Boney M;Rasputin;;;;;;;;;;;;Boney M;*Rasputin
Boney M;Rivers of Babylon;;;;;;;;;;;;Boney M;*Rivers of Babylon
Boney M;Sunny;;;;;;;;;;;;Boney M;*Sunny
Bonnie Tyler;Holding Out For A Hero;;;;;;;;;;;;Bonnie Tyler;*Holding Out For A Hero
Bonnie Tyler;It's a heartache;;;;;;;;;;;;Bonnie Tyler;*It's a heartache
Bonnie Tyler;Total Eclipse of the Heart;;;;;;;;;;;;Bonnie Tyler;*Total Eclipse of the Heart
Boston;More Than A Feeling;;;;;;;;;;;;Boston;*More Than A Feeling
Boudewijn de Groot;Het land van Maas en Waal;;;;;;;;;;;;Boudewijn de Groot;*Het land van Maas en Waal
Boudewijn de Groot;Jimmy;;;;;;;;;;;;Boudewijn de Groot;*Jimmy
Bowser & Peaches ;Peaches;;;;;;;;;;;;Bowser & Peaches ;*Peaches
Boy George;Everything I own;;;;;;;;;;;;Boy George;*Everything I own
Boy Meets Girl;Waiting For A Star To Fall;;;;;;;;;;;;Boy Meets Girl;*Waiting For A Star To Fall
Boys Like Girls;The Great Escape;;;;;;;;;;;;Boys Like Girls;*The Great Escape
Boyz II Men;I'll Make Love To You;;;;;;;;;;;;Boyz II Men;*I'll Make Love To You
Boyzone;Love Me For A Reason;;;;;;;;;;;;Boyzone;*Love Me For A Reason
Bravey;An Honest Mistake;;;;;;;;;;;;Bravey;*An Honest Mistake
Breeders;Cannonball;;;;;;;;;;;;Breeders;*Cannonball
Brenda Lee;Rockin' Around The Christmas Tree;;;;;;;;;;;;Brenda Lee;*Rockin' Around The Christmas Tree
Britney Spears;(You drive me) Crazy;;;;;;;;;;;;Britney Spears;*(You drive me) Crazy
Britney Spears;Baby One More Time;;;;;;;;;;;;Britney Spears;*Baby One More Time
Britney Spears;Born To Make You Happy;;;;;;;;;;;;Britney Spears;*Born To Make You Happy
Britney Spears;Do Somethin';;;;;;;;;;;;Britney Spears;*Do Somethin'
Britney Spears;Don't Let Me Be The Last To Know;;;;;;;;;;;;Britney Spears;*Don't Let Me Be The Last To Know
Britney Spears;Everytime;;;;;;;;;;;;Britney Spears;*Everytime
Britney Spears;I'm a Slave 4 U;;;;;;;;;;;;Britney Spears;*I'm a Slave 4 U
Britney Spears;Im Not A Girl, Not Yet A Woman;;;;;;;;;;;;Britney Spears;*Im Not A Girl, Not Yet A Woman
Britney Spears;Lucky;;;;;;;;;;;;Britney Spears;*Lucky
Britney Spears;My Only Wish (This Year);;;;;;;;;;;;Britney Spears;*My Only Wish (This Year)
Britney Spears;Oops... I Did It Again;;;;;;;;;;;;Britney Spears;*Oops... I Did It Again
Britney Spears;Sometimes;;;;;;;;;;;;Britney Spears;*Sometimes
Britney Spears;Stronger;;;;;;;;;;;;Britney Spears;*Stronger
Britney Spears;Toxic;;;;;;;;;;;;Britney Spears;*Toxic
Britney Spears;Womanizer;;;;;;;;;;;;Britney Spears;*Womanizer
Britney Spears;Work Bitch;;;;;;;;;;;;Britney Spears;*Work Bitch
Britney Spears ;My Only Wish (This Year);;;;;;;;;;;;Britney Spears ;*My Only Wish (This Year)
Britney Spears ft. Pharrell;Boys (Co-Ed Remix);;;;;;;;;;;;Britney Spears ft. Pharrell;*Boys (Co-Ed Remix)
Brittnee Belt & Cash Callaway;Miraculous!;;;;;;;;;;;;Brittnee Belt & Cash Callaway;*Miraculous!
Brittnee Belt & Cash Callaway;Miraculous! (+ duet);;;;;;;;;;;;Brittnee Belt & Cash Callaway;*Miraculous! (+ duet)
Bronski Beat;Smalltown boy;;;;;;;;;;;;Bronski Beat;*Smalltown boy
Bronski Beat;Why;;;;;;;;;;;;Bronski Beat;*Why
Bros;I Owe You Nothing;;;;;;;;;;;;Bros;*I Owe You Nothing
Bruce Springsteen;Born In The USA;;;;;;;;;;;;Bruce Springsteen;*Born In The USA
Bruce Springsteen;Born To Run;;;;;;;;;;;;Bruce Springsteen;*Born To Run
Bruce Springsteen;Dancing in the Dark;;;;;;;;;;;;Bruce Springsteen;*Dancing in the Dark
Bruce Springsteen;I'm on Fire;;;;;;;;;;;;Bruce Springsteen;*I'm on Fire
Bruce Springsteen;Streets Of Philadelphia;;;;;;;;;;;;Bruce Springsteen;*Streets Of Philadelphia
Bruce Springsteen;The River;;;;;;;;;;;;Bruce Springsteen;*The River
Bruno Mars;24K Magic;;;;;;;;;;;;Bruno Mars;*24K Magic
Bruno Mars;Grenade;;;;;;;;;;;;Bruno Mars;*Grenade
Bruno Mars;Just the Way You Are;;;;;;;;;;;;Bruno Mars;*Just the Way You Are
Bruno Mars;Locked Out Of Heaven;;;;;;;;;;;;Bruno Mars;*Locked Out Of Heaven
Bruno Mars;Talking To The Moon;;;;;;;;;;;;Bruno Mars;*Talking To The Moon
Bruno Mars;The Lazy Song;;;;;;;;;;;;Bruno Mars;*The Lazy Song
Bruno Mars;When I Was Your Man;;;;;;;;;;;;Bruno Mars;*When I Was Your Man
Bryan Adams;(Everything I do) I do it for you;;;;;;;;;;;;Bryan Adams;*(Everything I do) I do it for you
Bryan Adams;Christmas Time;;;;;;;;;;;;Bryan Adams;*Christmas Time
Bryan Adams;Cuts Like A Knife;;;;;;;;;;;;Bryan Adams;*Cuts Like A Knife
Bryan Adams;Heaven;;;;;;;;;;;;Bryan Adams;*Heaven
Bryan Adams;Run to you;;;;;;;;;;;;Bryan Adams;*Run to you
Bryan Adams;Summer of 69;;;;;;;;;;;;Bryan Adams;*Summer of 69
BTS;Butter;;;;;;;;;;;;BTS;*Butter
BTS;Dynamite;;;;;;;;;;;;BTS;*Dynamite
Bucks Fizz;Making Your Mind Up;;;;;;;;;;;;Bucks Fizz;*Making Your Mind Up
Buddy Holly;Peggy Sue;;;;;;;;;;;;Buddy Holly;*Peggy Sue
Buddy Holly;That'll Be The Day;;;;;;;;;;;;Buddy Holly;*That'll Be The Day
Buggles;Video Killed The Radio Star;;;;;;;;;;;;Buggles;*Video Killed The Radio Star
Bush;Glycerine;;;;;;;;;;;;Bush;*Glycerine
Busted;Crashed the Wedding;;;;;;;;;;;;Busted;*Crashed the Wedding
Busted;Year 3000;;;;;;;;;;;;Busted;*Year 3000
C&C Music Factory;Sweat (Everybody dance now);;;;;;;;;;;;C&C Music Factory;*Sweat (Everybody dance now)
Caesars;Jerk It Out;;;;;;;;;;;;Caesars;*Jerk It Out
Calling;Wherever You Will Go;;;;;;;;;;;;Calling;*Wherever You Will Go
Calum Scott & Leona Lewis;You Are The Reason (+ duet);;;;;;;;;;;;Calum Scott & Leona Lewis;*You Are The Reason (+ duet)
Calvin Harris;Acceptable In The 80s;;;;;;;;;;;;Calvin Harris;*Acceptable In The 80s
Calvin Harris;Feel So Close;;;;;;;;;;;;Calvin Harris;*Feel So Close
Calvin Harris;Summer;;;;;;;;;;;;Calvin Harris;*Summer
Calvin Harris & Disciples;How Deep Is Your Love;;;;;;;;;;;;Calvin Harris & Disciples;*How Deep Is Your Love
Calvin Harris & Dua Lipa;One Kiss;;;;;;;;;;;;Calvin Harris & Dua Lipa;*One Kiss
Calvin Harris & Sam Smith;Promises;;;;;;;;;;;;Calvin Harris & Sam Smith;*Promises
Calvin Harris ft Ellie Goulding ;Miracle;;;;;;;;;;;;Calvin Harris ft Ellie Goulding ;*Miracle
Calvin Harris ft. Ellie Goulding;I Need Your Love;;;;;;;;;;;;Calvin Harris ft. Ellie Goulding;*I Need Your Love
Calvin Harris ft. Florence Welch;Sweet Nothing;;;;;;;;;;;;Calvin Harris ft. Florence Welch;*Sweet Nothing
Calvin Harris ft. Kelis;Bounce;;;;;;;;;;;;Calvin Harris ft. Kelis;*Bounce
Calvin Harris ft. Pharrell W, Katy P;Feels;;;;;;;;;;;;Calvin Harris ft. Pharrell W, Katy P;*Feels
Calvin Harris ft. Rihanna;This Is What You Came For;;;;;;;;;;;;Calvin Harris ft. Rihanna;*This Is What You Came For
Camila Cabello ft. Young Thug;Havana (+ duet);;;;;;;;;;;;Camila Cabello ft. Young Thug;*Havana (+ duet)
Candi Staton;Young Hearts Run Free;;;;;;;;;;;;Candi Staton;*Young Hearts Run Free
Captain & Tennille;Do that to me one more time;;;;;;;;;;;;Captain & Tennille;*Do that to me one more time
Captain Jack;Captain Jack;;;;;;;;;;;;Captain Jack;*Captain Jack
Captain jack;Drill instructor;;;;;;;;;;;;Captain jack;*Drill instructor
Cardi B & Bruno Mars;Please me (duet);;;;;;;;;;;;Cardi B & Bruno Mars;*Please me (duet)
Cardigans;EraseRewind;;;;;;;;;;;;Cardigans;*EraseRewind
Cardigans;Lovefool;;;;;;;;;;;;Cardigans;*Lovefool
Cardigans;My Favourite Game;;;;;;;;;;;;Cardigans;*My Favourite Game
Carl Douglas;Kung Fu Fighting;;;;;;;;;;;;Carl Douglas;*Kung Fu Fighting
Carly Rae Jepsen;Call Me Maybe;;;;;;;;;;;;Carly Rae Jepsen;*Call Me Maybe
Carly Simon;Coming around again;;;;;;;;;;;;Carly Simon;*Coming around again
Carly Simon;You're so vain;;;;;;;;;;;;Carly Simon;*You're so vain
Carmel;More More More;;;;;;;;;;;;Carmel;*More More More
Carole King;(You Make Me Feel) Natural Woman;;;;;;;;;;;;Carole King;*(You Make Me Feel) Natural Woman
Carole King;You've Got a Friend;;;;;;;;;;;;Carole King;*You've Got a Friend
Carpenters;(They long to be) Close to you;;;;;;;;;;;;Carpenters;*(They long to be) Close to you
Carpenters;Jambalaya;;;;;;;;;;;;Carpenters;*Jambalaya
Cars;Drive;;;;;;;;;;;;Cars;*Drive
Cartel;Lose It;;;;;;;;;;;;Cartel;*Lose It
Cartoons;Witch Doctor;;;;;;;;;;;;Cartoons;*Witch Doctor
Cascada;Evacuate The Dancefloor;;;;;;;;;;;;Cascada;*Evacuate The Dancefloor
Cascada;Everytime We Touch;;;;;;;;;;;;Cascada;*Everytime We Touch
Cascada;Last Christmas;;;;;;;;;;;;Cascada;*Last Christmas
Cascada;Miracle;;;;;;;;;;;;Cascada;*Miracle
Cat Stevens;Father and Son (+ duet);;;;;;;;;;;;Cat Stevens;*Father and Son (+ duet)
Cat Stevens;Morning has broken;;;;;;;;;;;;Cat Stevens;*Morning has broken
CCR;Bad Moon Rising;;;;;;;;;;;;CCR;*Bad Moon Rising
CCR;Down On The Corner;;;;;;;;;;;;CCR;*Down On The Corner
CCR;Have You Ever Seen The Rain;;;;;;;;;;;;CCR;*Have You Ever Seen The Rain
CCR;Lookin' Out My Back Door;;;;;;;;;;;;CCR;*Lookin' Out My Back Door
CCR;Proud Mary;;;;;;;;;;;;CCR;*Proud Mary
CCR;Susie Q;;;;;;;;;;;;CCR;*Susie Q
CCR;Who'll Stop The Rain;;;;;;;;;;;;CCR;*Who'll Stop The Rain
Ce Ce Peniston;Finally (7 Choice Mix);;;;;;;;;;;;Ce Ce Peniston;*Finally (7 Choice Mix)
Celine Dion;The Power of Love;;;;;;;;;;;;Celine Dion;*The Power of Love
Celine Dion;Think twice;;;;;;;;;;;;Celine Dion;*Think twice
Céline Dion;All by myself;;;;;;;;;;;;Céline Dion;*All by myself
Céline Dion;My Heart Will Go On;;;;;;;;;;;;Céline Dion;*My Heart Will Go On
Céline Dion;Pour Que Tu M'Aimes Encore;;;;;;;;;;;;Céline Dion;*Pour Que Tu M'Aimes Encore
Ch!pz;Cowboy;;;;;;;;;;;;Ch!pz;*Cowboy
Chainsmokers;Paris (duet);;;;;;;;;;;;Chainsmokers;*Paris (duet)
Chainsmokers & Coldplay;Something Just Like This;;;;;;;;;;;;Chainsmokers & Coldplay;*Something Just Like This
Chaka Khan;I feel for you;;;;;;;;;;;;Chaka Khan;*I feel for you
Charlene;I've Never Been To Me;;;;;;;;;;;;Charlene;*I've Never Been To Me
Charles & Eddie;Would I Lie To You (Charles / Eddy);;;;;;;;;;;;Charles & Eddie;*Would I Lie To You (Charles / Eddy)
Charlie Puth & Meghan Trainor;Marvin Gaye (+ duet);;;;;;;;;;;;Charlie Puth & Meghan Trainor;*Marvin Gaye (+ duet)
Charlie Puth & Selena Gomez;We don't talk anymore (+ duet);;;;;;;;;;;;Charlie Puth & Selena Gomez;*We don't talk anymore (+ duet)
Charlotte Church;Crazy Chick;;;;;;;;;;;;Charlotte Church;*Crazy Chick
Charlotte Nilsson;Take me to your heaven;;;;;;;;;;;;Charlotte Nilsson;*Take me to your heaven
Cheap Trick;I Want You To Want Me;;;;;;;;;;;;Cheap Trick;*I Want You To Want Me
Cher;Believe;;;;;;;;;;;;Cher;*Believe
Cher;Dov'e l'Amore;;;;;;;;;;;;Cher;*Dov'e l'Amore
Cher;If I Could Turn Back Time;;;;;;;;;;;;Cher;*If I Could Turn Back Time
Cher;Strong Enough;;;;;;;;;;;;Cher;*Strong Enough
Cher;The Shoop Shoop Song (It's in his kiss);;;;;;;;;;;;Cher;*The Shoop Shoop Song (It's in his kiss)
Chesney Hawkes;The One And Only;;;;;;;;;;;;Chesney Hawkes;*The One And Only
Chic;Le Freak;;;;;;;;;;;;Chic;*Le Freak
Chicago;Hard habit to break;;;;;;;;;;;;Chicago;*Hard habit to break
Chicago;Hard to say I'm sorry;;;;;;;;;;;;Chicago;*Hard to say I'm sorry
Chicago;If You Leave Me Now;;;;;;;;;;;;Chicago;*If You Leave Me Now
China Crisis;Wishful Thinking;;;;;;;;;;;;China Crisis;*Wishful Thinking
Chris Brown;Yeah 3x;;;;;;;;;;;;Chris Brown;*Yeah 3x
Chris Brown;Yo (Excuse Me Miss);;;;;;;;;;;;Chris Brown;*Yo (Excuse Me Miss)
Chris Brown ft. Benny Benassi;Beautiful People;;;;;;;;;;;;Chris Brown ft. Benny Benassi;*Beautiful People
Chris Brown ft. Rihanna;Turn Up The Music (Remix) (+ duet);;;;;;;;;;;;Chris Brown ft. Rihanna;*Turn Up The Music (Remix) (+ duet)
Chris DeBurgh;Lady in red;;;;;;;;;;;;Chris DeBurgh;*Lady in red
Chris Isaak;Blue Hotel;;;;;;;;;;;;Chris Isaak;*Blue Hotel
Chris Isaak;Wicked game;;;;;;;;;;;;Chris Isaak;*Wicked game
Chris Rea;Driving Home For Christmas;;;;;;;;;;;;Chris Rea;*Driving Home For Christmas
Chris Rea;On The Beach;;;;;;;;;;;;Chris Rea;*On The Beach
Chris Rea;The Road to Hell;;;;;;;;;;;;Chris Rea;*The Road to Hell
Chris Roberts;Du Kannst Nicht Immer 17 Sein;;;;;;;;;;;;Chris Roberts;*Du Kannst Nicht Immer 17 Sein
Christie;Yellow River;;;;;;;;;;;;Christie;*Yellow River
Christina Aguilera;Ain't No Other Man;;;;;;;;;;;;Christina Aguilera;*Ain't No Other Man
Christina Aguilera;Beautiful;;;;;;;;;;;;Christina Aguilera;*Beautiful
Christina Aguilera;Fighter;;;;;;;;;;;;Christina Aguilera;*Fighter
Christina Aguilera;Hurt;;;;;;;;;;;;Christina Aguilera;*Hurt
Christina Aguilera;Not Myself Tonight;;;;;;;;;;;;Christina Aguilera;*Not Myself Tonight
Christina Aguilera;The Voice Within;;;;;;;;;;;;Christina Aguilera;*The Voice Within
Christina Aguilera ft. Redman;Dirrty;;;;;;;;;;;;Christina Aguilera ft. Redman;*Dirrty
Christina Aguilera, Lil' Kim, Mýa, P!nk;Lady Marmalade;;;;;;;;;;;;Christina Aguilera, Lil' Kim, Mýa, P!nk;*Lady Marmalade
Christine and The Queens;Christine;;;;;;;;;;;;Christine and The Queens;*Christine
Christine and The Queens;Saint Claude;;;;;;;;;;;;Christine and The Queens;*Saint Claude
Christophe;Aline;;;;;;;;;;;;Christophe;*Aline
Christopher Cross;Ride like the wind;;;;;;;;;;;;Christopher Cross;*Ride like the wind
Christopher Cross;Sailing;;;;;;;;;;;;Christopher Cross;*Sailing
Chubby Checker;Let's Twist Again;;;;;;;;;;;;Chubby Checker;*Let's Twist Again
Chuck Berry;Johnny B. Goode;;;;;;;;;;;;Chuck Berry;*Johnny B. Goode
Chuck Berry;You never can tell;;;;;;;;;;;;Chuck Berry;*You never can tell
Chumbawamba;Tubthumping;;;;;;;;;;;;Chumbawamba;*Tubthumping
Cindy & Bert;Immer wieder Sonntags (+ duet);;;;;;;;;;;;Cindy & Bert;*Immer wieder Sonntags (+ duet)
Circus Custers;Verliefd;;;;;;;;;;;;Circus Custers;*Verliefd
